排名,电影名,评分,评论数,上映时间
198,虎胆龙威,8.2,90236,1988-07-20
199,赛末点,8.1,197800,2005-05-12
200,狗咬狗,8.1,106407,2006-08-17
201,赌城风云,8.3,54210,1995-11-22
202,杀手没有假期,8.1,163282,2008-01-17
203,给爸爸的信,8.1,89436,1995-02-18
204,喊·山,8.1,85030,2016-08-26
205,尼罗河上的惨案,8.5,31411,2004-04-12
206,无双,8.0,969601,2018-09-30
207,湄公河行动,8.0,783841,2016-09-30
208,囚徒,8.1,137664,2013-08-30
209,暴力街区,8.1,130816,2004-11-10
210,局内人,8.1,130761,2015-11-19
211,微不足道,8.2,68396,2006-12-01
212,子弹横飞百老汇,8.5,29693,1994-09-06
213,卑劣的街头,8.1,117735,2006-06-15
214,危情三日,8.1,102642,2011-04-29
215,训练日,8.1,100652,2001-09-02
216,美国田园下的罪恶,8.3,43948,2007-01-19
217,不良教育,8.3,43877,2004-03-19
218,虎豹小霸王,8.6,23626,1969-10-10
219,华尔街,8.2,58624,1987-12-11
220,续命之徒：绝命毒师电影,8.1,93461,2019-10-11
221,奇迹,8.1,50440,1989-06-15
222,回归,8.2,55482,2006-03-17
223,空房间,8.0,182821,2004-09-07
224,雌雄大盗,8.2,54326,1967-08-13
225,忠奸人,8.2,54051,1997-02-28
226,边缘日记,8.2,52018,1995-04-21
227,突袭2：暴徒,8.1,75783,2014-01-21
228,赴汤蹈火,8.1,75198,2016-05-16
229,奏鸣曲,8.4,30565,1993-09-10
230,烈焰焚币,8.5,25495,2000-05-11
231,夺魂索,8.1,74345,1948-08-28
232,煤气灯下,8.5,25355,1944-05-11
233,美好的世界,8.3,37266,2020-09-10
234,守法公民,8.0,132457,2009-09-23
235,追凶者也,7.9,371582,2016-09-14
236,新警察故事,7.9,361797,2004-09-24
237,男孩别哭,8.2,46019,1999-09-02
238,走到尽头,8.0,112276,2014-05-18
239,小委托人,8.1,64560,2019-05-22
240,冰血暴,8.0,110825,1996-03-08
241,喜剧之王,8.5,23955,1982-12-18
242,疾速追杀2,7.9,195738,2017-02-10
243,悲惨世界,8.1,61328,2019-05-15
244,速度与激情6,7.9,280555,2013-07-26
245,圣女贞德蒙难记,8.7,17820,1928-04-21
246,古惑仔之人在江湖,7.9,148059,1996-01-25
247,精英部队,8.1,59092,2007-08-17
248,边境风云,7.9,126123,2012-08-17
249,解除好友2：暗网,7.9,226634,2018-03-09
250,猜火车2,8.0,90880,2017-01-27
251,疾速追杀3,7.9,221091,2019-05-17
252,速度与激情,7.9,218256,2001-06-22
253,狙击电话亭,7.9,205326,2002-09-10
254,十一罗汉,7.9,200645,2001-12-07
255,非常突然,8.0,47706,1998-05-28
256,绿头苍蝇,8.3,31786,2009-04-16
257,座头市,8.1,54351,2003-09-06
258,追捕,8.3,31452,1976-02-11
259,少数派报告,7.9,183346,2002-06-21
260,惊世狂花,8.2,39390,1996-08-31
261,学校风云,8.1,29459,1988-08-20
262,处刑人,8.1,52603,1999-08-04
263,A计划续集,7.9,82049,1987-07-25
264,骡子,7.9,144821,2019-08-26
265,红龙,7.9,142273,2002-10-04
266,火车怪客,8.1,49017,1951-06-30
267,警察故事3：超级警察,7.9,77230,1992-07-04
268,极恶非道,8.0,72055,2010-06-12
269,巴比龙,8.7,16542,1973-12-16
270,美国精神病人,7.9,132525,2000-01-21
271,五亿探长雷洛传1：雷老虎,7.9,70173,1991-09-19
272,看见恶魔,7.9,125086,2010-08-11
273,全民目击,7.8,376434,2013-09-13
