排名,电影名,评分,评论数,上映时间
808,金猴降妖,9.2,14470,1985
809,浪客剑心 最终章 追忆篇,8.6,44931,2021-06-04
810,木偶奇遇记,8.4,59039,1940-02-07
811,香港制造,8.2,47888,1997-10-09
812,老狐狸,8.1,62091,2023-10-27
813,蓝色茉莉,8.0,158405,2013-08-23
814,金氏漂流记,8.3,69089,2009-05-14
815,我自己的爱达荷,8.3,69061,1991-09-12
816,阳光姐妹淘,8.3,68770,2018-08-31
817,契克,8.4,57938,2016-09-15
818,摩加迪沙,8.1,108619,2021-07-28
819,成为约翰·马尔科维奇,8.3,68388,1999-09-02
820,光棍儿,8.1,60039,2011-12-14
821,耳朵大有福,8.2,46409,2008-01-04
822,冬天的故事,8.5,49459,1992-01-29
823,投奔怒海,8.5,27377,1982-10-13
824,头文字D,7.8,416684,2005-06-23
825,潘神的迷宫,7.9,246990,2006-10-11
826,走走停停,8.0,82009,2024-06-08
827,丈夫得了抑郁症,8.2,81733,2011-10-08
828,青之炎,8.6,43263,2003-03-15
829,高地战,8.5,49004,2011-07-20
830,叶问,7.8,389209,2008-12-12
831,杀戮,8.2,81237,2011-09-01
832,朱诺,7.9,238299,2007-12-25
833,水牛城66,8.4,56203,1998-06-26
834,飞向太空,8.7,38533,1972-03-20
835,全民目击,7.8,364982,2013-09-13
836,西雅图未眠夜,7.9,234156,1993-06-25
837,新警察故事,7.8,346694,2004-09-24
838,癫佬正传,8.6,23751,1986-06-05
839,十分钟年华老去：小号篇,8.5,26859,2002-05-18
840,平常的心,8.4,55461,2014-05-25
841,祖与占,8.4,55450,1962-01-23
842,惊天魔盗团,7.8,576445,2013-10-10
843,椿三十郎,8.8,34439,1962-01-01
844,同学麦娜丝,7.9,122579,2020-11-05
845,在云端,7.9,219999,2009-09-05
846,边境风云,7.9,121931,2012-08-17
847,浪客剑心,8.1,99254,2012-08-25
848,沦落人,8.2,43378,2018-11-08
849,起跑线,7.9,215992,2018-04-04
850,宿敌,8.5,47591,2022-04-28
851,隧道,7.9,213359,2016-08-10
852,流浪猫鲍勃,7.9,209528,2018-11-02
853,降临,7.8,483534,2017-01-20
854,招魂2,7.9,207454,2016-06-10
855,投名状,7.8,264647,2007-12-12
856,杀生,7.8,256836,2012-04-28
857,完美的日子,8.4,53758,2023-05-25
858,我杀了我妈妈,8.3,62965,2009-05-18
859,西伯利亚的理发师,8.6,41439,1998-10-30
860,木乃伊,7.9,200431,1999-04-16
861,宾虚,8.7,37198,1959-11-18
862,钢琴课,8.1,95399,1993-05-17
863,他其实没那么喜欢你,7.8,439983,2009-02-06
864,危情三日,8.1,95248,2011-04-29
865,训练日,8.1,94940,2001-09-02
866,一念无明,7.9,108230,2017-04-07
867,旺角卡门,7.8,231254,1988-06-09
868,麦兜，菠萝油王子,8.1,52215,2004-06-24
869,守法公民,8.0,126490,2009-10-16
870,小男孩,8.3,61948,2015-04-24
871,婚姻生活,9.0,28136,1973-04-11
872,喜福会,8.4,52365,1993-09-08
873,罗斯玛丽的婴儿,8.2,73463,1968-06-12
874,流感,7.8,375784,2013-08-14
875,关于莉莉周的一切,7.9,182782,2001-09-07
876,夏天的故事,8.3,60476,1996-06-05
877,花魁,8.1,90531,2007-02-24
878,半生缘,7.9,99324,1997-09-12
879,托斯卡纳艳阳下,8.1,89972,2003-09-26
880,浓情巧克力,8.0,119138,2000-12-15
881,硫磺岛的来信,8.2,71862,2006-12-09
882,西线无战事,8.9,30062,1930-04-21
883,迫在眉梢,8.3,59739,2002-02-15
884,非常主播,7.9,173582,2009-10-09
885,男与女,8.1,88366,2016-02-25
886,紫色,8.7,35883,1985-12-18
887,心之全蚀,8.1,88285,1995-11-03
888,香火,8.4,28317,2003
889,刀,8.1,48906,1995-12-21
890,续命之徒：绝命毒师电影,8.1,87694,2019-10-11
891,祈祷落幕时,7.9,169860,2019-04-12
892,你好，李焕英,7.7,1477276,2021-02-12
893,铁皮鼓,8.3,59038,1979-05-03
894,巴比伦,8.0,115364,2022-12-23
895,本能,7.9,165077,1992-03-20
896,欲望号街车,8.4,50301,1951-09-18
897,两小无猜,8.5,44148,1971-04-21
898,看上去很美,7.9,91545,2006-03-18
899,光荣的愤怒,8.2,38624,2006-06-21
900,每当变幻时,8.0,62517,2007-06-29
901,转山,7.9,90623,2011-11-03
902,平原上的夏洛克,7.8,164411,2019-11-29
903,布拉格之恋,8.2,69010,1988-02-05
904,居家男人,8.2,68903,2000-12-22
905,芳华,7.7,813252,2017-12-15
906,恶人传,7.8,289467,2019-05-15
907,小鹿斑比,8.6,39049,1942-08-21
908,夜奔,8.2,38017,2000-10-14
