江山赋,后沙峪,3室1厅 | 149.56平米 | 南 北 | 精装 | 中楼层(共5层) | 2010年 | 板楼,7380000.0,49345.0
紫贵御园,平谷其它,3室2厅 | 105.79平米 | 南 北 | 精装 | 19层  | 板塔结合,1950000.0,18433.0
梅园小区,亦庄,2室1厅 | 93.76平米 | 南 西 北 | 简装 | 中楼层(共6层)  | 板楼,3680000.0,39250.0
万柳园小区,玉泉营,1室1厅 | 42.19平米 | 南 北 | 简装 | 中楼层(共6层) | 1993年 | 板楼,2080000.0,49301.0
桃花岛,梨园,3室2厅 | 135.96平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,4990000.0,36702.0
东恒时代三期,四惠,2室2厅 | 114.05平米 | 南 北 | 精装 | 12层  | 板楼,6700000.0,58747.0
团结大院,车公庄,2室1厅 | 61.3平米 | 南 北 | 精装 | 中楼层(共6层) | 1985年 | 板楼,6150000.0,100327.0
铁路巷,车公庄,1室1厅 | 41.3平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,4200000.0,101695.0
东南小区,中关村,3室1厅 | 80平米 | 东 南 北 | 简装 | 中楼层(共5层)  | 板楼,11000000.0,137500.0
观音寺小区,观音寺,2室1厅 | 69.83平米 | 南 北 | 简装 | 底层(共6层) | 1994年 | 板楼,1880000.0,26923.0
北苑家园望春园,北苑,3室2厅 | 135.99平米 | 东南 | 简装 | 23层  | 板塔结合,8150000.0,59931.0
万年花城五期,玉泉营,2室2厅 | 90.43平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,7200000.0,79620.0
莲怡园二区,六里桥,2室1厅 | 102.69平米 | 南 北 | 简装 | 高楼层(共12层)  | 板塔结合,5280000.0,51417.0
角门东里,角门,2室1厅 | 51.8平米 | 南 北 | 精装 | 底层(共6层)  | 板楼,2800000.0,54055.0
世涛天朗,东关,3室2厅 | 167.56平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,7680000.0,45835.0
芳源里,旧宫,3室1厅 | 91.23平米 | 南 北 | 精装 | 顶层(共9层)  | 板楼,4050000.0,44394.0
中海雅园,紫竹桥,2室1厅 | 106.55平米 | 西南 | 简装 | 中楼层(共19层)  | 塔楼,11500000.0,107931.0
惠泽家园,门头沟其它,1室1厅 | 55.56平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1450000.0,26098.0
南苑北里一区,和义,1室1厅 | 53.26平米 | 南 北 | 毛坯 | 底层(共6层)  | 板楼,1750000.0,32858.0
矿机社区,城关,2室1厅 | 57.83平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,630000.0,10894.0
东潞苑,潞苑,2室2厅 | 88.37平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2880000.0,32591.0
名佳花园三区,北七家,1室1厅 | 69.88平米 | 南 北 | 简装 | 6层  | 板楼,2200000.0,31483.0
东直门南大街,东直门,2室1厅 | 63.29平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,6380000.0,100806.0
住欣家园,常营,2室1厅 | 70.74平米 | 东南 | 简装 | 底层(共26层) | 2010年 | 塔楼,2050000.0,28980.0
东柳西里,双桥,1室0厅 | 38.53平米 | 南 | 精装 | 5层  | 板楼,1450000.0,37634.0
澳景花庭,奥林匹克公园,3室2厅 | 147.18平米 | 南 北 | 精装 | 高楼层(共14层) | 2006年 | 板楼,11200000.0,76098.0
仓上小区,顺义城,3室1厅 | 79.93平米 | 南 北 | 简装 | 6层 | 1992年 | 板楼,2140000.0,26774.0
农光南路,劲松,3室1厅 | 73.01平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,3800000.0,52048.0
瑞雪春堂,良乡,2室1厅 | 81.82平米 | 东南 | 简装 | 底层(共15层)  | 板楼,1900000.0,23222.0
新通国际花园,梨园,2室1厅 | 91.7平米 | 东 西 | 简装 | 高楼层(共28层)  | 板塔结合,3450000.0,37623.0
八角北里,八角,2室1厅 | 59.88平米 | 西南 | 精装 | 6层 | 1990年 | 板楼,2680000.0,44757.0
